name,type,start_time,duration,"data","error","ack","address","read"
"I2C","data",3.20068619,2.325e-05,0xE3,,true,,
"I2C","data",3.20071094,2.325e-05,0x16,,true,,
"I2C","data",3.20073569,2.325e-05,0x00,,true,,
"I2C","data",3.20076038,2.325e-05,0x30,,true,,
"I2C","data",3.20078512,2.325e-05,0x11,,true,,
"I2C","data",3.20080988,2.325e-05,0x00,,true,,
"I2C","data",3.20083463,2.325e-05,0x00,,true,,
"I2C","data",3.20085931,2.325e-05,0xD0,,true,,
"I2C","data",3.20088406,2.325e-05,0xEE,,true,,
"I2C","data",3.20090881,2.325e-05,0xFF,,true,,
"I2C","data",3.2009335,2.325e-05,0xFF,,true,,
"I2C","data",3.20095825,2.325e-05,0x20,,true,,
"I2C","data",3.200983,2.325e-05,0x03,,true,,
"I2C","data",3.20100775,2.325e-05,0xD0,,true,,
"I2C","data",3.20103244,2.325e-05,0x07,,true,,
"I2C","data",3.20105719,2.325e-05,0x64,,true,,
"I2C","data",3.20108194,2.325e-05,0x00,,true,,
"I2C","data",3.20110662,2.33125e-05,0xF4,,true,,
"I2C","data",3.20113138,2.325e-05,0x01,,true,,
"I2C","data",3.20115612,2.325e-05,0x00,,true,,
"I2C","data",3.20118087,2.325e-05,0x00,,true,,
"I2C","data",3.20120563,2.325e-05,0x00,,true,,
"I2C","data",3.20123031,2.325e-05,0x00,,true,,
"I2C","data",3.20125506,2.325e-05,0x00,,true,,
"I2C","data",3.20127981,2.325e-05,0x00,,true,,
"I2C","data",3.2013045,2.33125e-05,0x00,,true,,
"I2C","data",3.20132925,2.325e-05,0x00,,true,,
"I2C","data",3.201354,2.325e-05,0x00,,true,,
"I2C","data",3.20137875,2.325e-05,0x00,,true,,
"I2C","data",3.20140344,2.33125e-05,0x00,,true,,
"I2C","data",3.20142819,2.325e-05,0x00,,true,,
"I2C","data",3.20145294,2.325e-05,0x00,,true,,
"I2C","data",3.20147769,2.325e-05,0x00,,true,,
"I2C","data",3.20150238,2.325e-05,0x00,,true,,
"I2C","data",3.20152713,2.325e-05,0x00,,true,,
"I2C","data",3.20155187,2.325e-05,0x00,,true,,
"I2C","data",3.20157662,2.325e-05,0x00,,true,,
"I2C","data",3.20160131,2.325e-05,0x00,,true,,
"I2C","data",3.20162606,2.325e-05,0x01,,true,,
"I2C","data",3.20165081,2.325e-05,0x00,,true,,
"I2C","data",3.20167556,2.325e-05,0x00,,true,,
"I2C","data",3.20170025,2.325e-05,0x00,,true,,
"I2C","data",3.201725,2.325e-05,0x00,,true,,
"I2C","data",3.20174975,2.325e-05,0x00,,true,,
"I2C","data",3.20177444,2.33125e-05,0x00,,true,,
"I2C","data",3.20179919,2.325e-05,0x00,,true,,
"I2C","data",3.20182394,2.325e-05,0x00,,true,,
"I2C","data",3.20184869,2.325e-05,0x00,,true,,
"I2C","data",3.20187337,2.325e-05,0x00,,true,,
"I2C","data",3.20189813,2.325e-05,0x00,,true,,
"I2C","data",3.20192288,2.325e-05,0x00,,true,,
"I2C","data",3.20194762,2.325e-05,0x00,,true,,
"I2C","data",3.20197231,2.325e-05,0x00,,true,,
"I2C","data",3.20199706,2.325e-05,0x00,,true,,
"I2C","data",3.20202181,2.325e-05,0x00,,true,,
"I2C","data",3.2020465,2.325e-05,0x00,,true,,
"I2C","data",3.20207125,2.325e-05,0x00,,true,,
"I2C","data",3.202096,2.325e-05,0x00,,true,,
"I2C","data",3.20212069,2.33125e-05,0x00,,true,,
"I2C","data",3.20214544,2.325e-05,0x00,,true,,
"I2C","data",3.20217019,2.325e-05,0x00,,true,,
"I2C","data",3.20219494,2.325e-05,0x00,,true,,
"I2C","data",3.20221963,2.325e-05,0x00,,false,,
"I2C","stop",3.20224588,6.24999998e-08,,,,,
"I2C","start",3.202251,6.25000002e-08,,,,,
"I2C","address",3.20225362,2.325e-05,,,true,0x25,false
"I2C","data",3.20227994,2.31875e-05,0x40,,true,,
"I2C","start",3.20230837,6.25000002e-08,,,,,
"I2C","address",3.202311,2.325e-05,,,true,0x25,true
"I2C","data",3.20234,2.31875e-05,0x00,,false,,
"I2C","stop",3.20236619,6.25000002e-08,,,,,
"I2C","start",3.49927637,6.24999998e-08,,,,,
"I2C","address",3.499279,2.325e-05,,,true,0x25,false
"I2C","stop",3.49930669,6.25000002e-08,,,,,
"I2C","start",3.4993115,6.24999998e-08,,,,,
"I2C","address",3.49931406,2.33125e-05,,,true,0x25,false
"I2C","data",3.49934025,2.31875e-05,0x00,,true,,
"I2C","start",3.49936881,6.24999998e-08,,,,,
"I2C","address",3.49937144,2.325e-05,,,true,0x25,true
"I2C","data",3.49940044,2.325e-05,0xA5,,true,,
"I2C","data",3.49942513,2.325e-05,0x03,,false,,
"I2C","stop",3.49945138,6.24999998e-08,,,,,
"I2C","start",3.499457,6.24999998e-08,,,,,
"I2C","address",3.49945963,2.325e-05,,,true,0x25,false
"I2C","data",3.49948581,2.31875e-05,0x40,,true,,
"I2C","start",3.49951437,6.25000002e-08,,,,,
"I2C","address",3.499517,2.325e-05,,,true,0x25,true
"I2C","data",3.499546,2.31875e-05,0x00,,false,,
"I2C","stop",3.49957219,6.25000002e-08,,,,,
"I2C","start",3.49957719,6.25000002e-08,,,,,
"I2C","address",3.49957981,2.325e-05,,,true,0x25,false
"I2C","data",3.499606,2.31875e-05,0x00,,true,,
"I2C","start",3.49963456,6.25000002e-08,,,,,
"I2C","address",3.49963713,2.325e-05,,,true,0x25,true
